"pathway","NES","padj","gene","gene_log2FC","gene_padj"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"SNTB1",-1.95209714283878,7.4098133859516e-11
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"SNTA1",-1.84803243428281,1.89403882108048e-23
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL4A2",-1.84703012684067,4.13981133297511e-50
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"HSPG2",-1.81772091901427,4.51759395362078e-25
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL4A1",-1.76638971877568,2.62218697482496e-34
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"SDC4",-1.71931164630496,2.70043276572579e-33
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"ACTA2",-1.68412026938753,9.11513685196835e-10
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL4A4",-1.57807739632857,1.93753101933788e-05
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL5A3",-1.49568002046231,0.272558555404209
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"ACTN1",-1.33748767317466,7.78042920392032e-30
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"LAMA5",-1.29112079023563,8.0257157018892e-20
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"SSPN",-1.23876429041568,0.000615607104162833
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"FGF2",-1.20606297814764,4.31673327261947e-22
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"ITGA2",-1.14247579466725,5.40213269234652e-19
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"ACTB",-1.13291750837987,4.43051403451598e-23
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"LAMB2",-1.11212895341055,6.77717789767655e-16
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"SGCE",-1.10240965939499,5.23384558460998e-14
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"UTRN",-1.04874394267944,4.30389709813013e-16
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL10A1",-0.940426049961355,0.0014284654106339
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"COL4A5",-0.921766997749912,6.30390648418111e-14
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"LAMA2",-0.893937105188434,6.42477306816042e-07
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"TNC",-0.873798246536076,1.77813619023221e-14
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"DTNA",-0.858478326153406,2.47327505779781e-11
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"LAMA3",-0.786507022250031,0.0164682882581477
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"SGCG",-0.78032159815145,0.716231944820034
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",-1.83990812131457,0.0114737455840729,"SDC3",-0.764962867094192,3.4422909888266e-09
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"CCN2",-7.80301925281702,2.69279158755025e-233
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"CCN1",-7.58217516754692,2.48648936860275e-184
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"THBS1",-5.16471413946792,0
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"PARVA",-5.13370211651562,8.32659477609049e-191
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"DAB2",-4.75916780426494,3.62467344947086e-153
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ITGB3",-4.24773261828121,2.94707693785138e-230
